source_file,doc_type,chunk_id,text_content
MSCI ESG Ratings Methodology.pdf,Methodology_General,0,"MSCI ESG RESEARCH LLC ESG Ratings Methodology MSCI ESG Research LLC April 2024 © 2024 MSCI Inc. All rights reserved. Please refer to the disclaimer at the end of this document. ESG RATINGS METHODOLOGY MSCI ESG RESEARCH LLC Contents 1 Methodology overview .......................................................................................... 4 1.1 Objective .................................................................................................................. 4 1.1.1 Key features ...................................................................................................... 4 2 Data, ratings and scores ....................................................................................... 5 2.1 Rating & scores ........................................................................................................ 5 2.1.1 Interpreting Environmental and Social Key Issue Scores ............................... 6 2.2 Supplemental scores .................................."
MSCI ESG Ratings Methodology.pdf,Methodology_General,1,"............................................ 5 2.1.1 Interpreting Environmental and Social Key Issue Scores ............................... 6 2.2 Supplemental scores ............................................................................................... 7 2.2.1 Pillar Scores ...................................................................................................... 7 2.2.2 Theme Scores ................................................................................................... 7 2.2.3 Governance Key Issue Scores .......................................................................... 8 2.2.4 Governance Theme and Key Issue percentiles ............................................... 8 2.3 Pillar, Theme and Key Issue weights ...................................................................... 8 3 Methodological steps ......................................................................................... 10 3.1 ESG Key Issues ................................"
MSCI ESG Ratings Methodology.pdf,Methodology_General,2,.............................. 8 3 Methodological steps ......................................................................................... 10 3.1 ESG Key Issues ...................................................................................................... 10 3.1.1 Determining ESG Key Issues .......................................................................... 10 3.1.2 Setting ESG Key Issue weights ...................................................................... 13 3.1.3 Key Issue assessments .................................................................................. 14 3.2 Analyzing risk exposure ........................................................................................ 15 3.2.1 ESG Risk Exposure model .............................................................................. 15 3.2.2 Determining Exposure Scores ........................................................................ 17 3.3 Analyzing Risk Management ...................
MSCI ESG Ratings Methodology.pdf,Methodology_General,3,..................................... 15 3.2.2 Determining Exposure Scores ........................................................................ 17 3.3 Analyzing Risk Management ................................................................................. 17 3.3.1 Components of Risk Management assessment ........................................... 17 3.3.2 Controversies cases ....................................................................................... 18 3.3.3 Standardization and benchmarking ............................................................... 19 3.3.4 Variations in disclosure .................................................................................. 20 3.3.5 Determining Management Scores ................................................................. 21 3.4 Analyzing Governance ........................................................................................... 22 © 2024 MSCI Inc. All rights reserved
MSCI ESG Ratings Methodology.pdf,Methodology_General,4,"........................................ 21 3.4 Analyzing Governance ........................................................................................... 22 © 2024 MSCI Inc. All rights reserved. Please refer to the disclaimer at the end of this document. MSCI.COM | ESG RATINGS METHODOLOGY MSCI ESG RESEARCH LLC 3.4.1 Key Metrics ..................................................................................................... 22 3.4.2 Controversies and events ............................................................................... 23 3.4.3 Standardization and benchmarking ............................................................... 23 3.4.4 Variations in disclosure .................................................................................. 23 3.4.5 Determining Governance Scores ................................................................... 24 3.5 Calculating Key Issue, Theme and Pillar Scores .................................................. 25 3.5"
MSCI ESG Ratings Methodology.pdf,Methodology_General,5,"................................................................... 24 3.5 Calculating Key Issue, Theme and Pillar Scores .................................................. 25 3.5.1 Determining Environmental and Social Key Issue Scores – risks ............... 25 3.5.2 Determining Environmental and Social Key Issue Scores – opportunities . 26 3.5.3 Calculating Environmental and Social Theme and Pillar Scores ................. 26 3.5.4 Calculating Governance Scores ..................................................................... 27 3.6 Determining final Ratings ...................................................................................... 32 3.6.1 Weighted Average Key Issue Score ............................................................... 32 3.6.2 Industry-Adjusted Score ................................................................................. 32 3.6.3 Committee review process ............................................................................ 33 3.6"
MSCI ESG Ratings Methodology.pdf,Methodology_General,6,................................................................................. 32 3.6.3 Committee review process ............................................................................ 33 3.6.4 ESG Rating....................................................................................................... 33 Appendix 1: ESG Ratings Model hierarchy .................................................................. 34 Appendix 2: Example of industry Key Issue selection ................................................. 35 Appendix 3: Weight-setting framework ...................................................................... 36 Appendix 4: ESG Rating Industries ............................................................................. 38 Appendix 5: Normalizing the Weighted Average Score vs. industry peers .................. 43 Industry peer set benchmark values ..............................................................................
MSCI ESG Ratings Methodology.pdf,Methodology_General,7,. industry peers .................. 43 Industry peer set benchmark values ............................................................................... 43 Exceptions to the 95th and 5th percentile boundaries .................................................. 43 Industry minimum and maximum scores update frequency ........................................ 44 Appendix 6: Home-Market selection .......................................................................... 46 Determining Home-Market allocation ............................................................................ 46 Ad hoc coverage additions .......................................................................................... 46 Fixed income – governance reference entity ............................................................. 46 2021 Home-Market allocation ..................................................................................... 47 © 2024 MSCI Inc. All rights reserved
MSCI ESG Ratings Methodology.pdf,Methodology_General,8,"........................................... 46 2021 Home-Market allocation ..................................................................................... 47 © 2024 MSCI Inc. All rights reserved. Please refer to the disclaimer at the end of this document. MSCI.COM | ESG RATINGS METHODOLOGY MSCI ESG RESEARCH LLC 1 Methodology overview 1.1 Objective MSCI ESG Ratings provide an opinion of companies’ management of financially relevant ESG risks and opportunities. Each rating takes into consideration the company’s exposure to potentially material ESG risks, the quality of management systems and governance structures to mitigate potential ESG risks, and where applicable, positioning to meet market demand for the provision of products and services that have a positive environmental or social contribution. For additional details on the definition of rating scales, refer to the “MSCI ESG and Climate Symbols and Definitions” document. 1.1"
MSCI ESG Ratings Methodology.pdf,Methodology_General,9,". For additional details on the definition of rating scales, refer to the “MSCI ESG and Climate Symbols and Definitions” document. 1.1.1 Key features • MSCI ESG Ratings are industry-relative measures and are determined at the company level. Ratings are on a global seven-band scale from AAA (the highest ESG Rating) to CCC (the lowest ESG Rating). • Each company is evaluated on a selection of two to seven Environmental and Social Key Issues (out of 33 total Key Issues, see Exhibit 1). The Environmental and Social Key Issues relevant for a given company are selected based on the company’s exposure to potentially material ESG risks, which are driven by industry-specific and market-specific factors. • All companies are evaluated on the Governance Pillar, which is comprised of six Key Issues in the Corporate Governance and Corporate Behavior Themes. The evaluation is based on the gap between best practice and each company’s governance practices"
